17-07-2024-15:48,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/auth/v1beta1/accounts?pagination.limit=5000&pagination.count_total=true&pagination.key=n2C64KyMpVZPpr5vd4obCDgk22A="
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qldh3kpl6sxgedmkrc7j83enrttx5qppycjgrw/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pqn69ddqqszzeufhxwmhses3a9yth8pq0ahlxw/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pqhqmc53u2kg6u089zzhyphnztjazs39eqpfmf/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1ppyzad0cu3f359zgaxnk0cmtp6qcmc3rr3qn6c/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pp3xfgu6axv8xuatch2fksrf4mds5s2ch8ltfc/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1ppjpsw4guzwe7chunx9lxx8vadxxweks0mf5pa/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pphj87dpgrk6ed923ggqh939rf3a26kc0uzmuf/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pzphakhuwktym33ak76kvvtxrfth2njl2n3scu/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pzy5degclsfmr0k36cs7f0g7dxwkxqmws4g7lx/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pzvd0z38kjh2j5hhhd5088duhhgnfxy9qrlypx/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pz5wde97sezjklgtrt8altd0zsaswggslm2qsd/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pzunc9mys4lkr02nncdsg40we93qhj7ncd8nn3/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1prqfzwnckvdqc9yswec3l5vtpshg9yhl3hdl63/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1prqsexy94g06njncceq0yq6y9m254xls7ncm9a/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1prgswfyth0h4e6ka3qnhv5qlg0n550583gplnn/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1prwlf480wfah3cynjer3rke9zjfkc3xysppt9p/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pr0uw3zhsvpvc7pnd9n55affk7nzzuhnfjqumm/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1prj6t6tap75dg9c08ap30nt60lr2estn3jhp7w/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1prk4pyjhk0z8jwn7qz9ppsz98aanj0rra5ppvu/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1prcmpmwggaxt8v8csvcpz9vc6dnnrr5qdnvqjz/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1py08jsquvsgkhhh6y5dj57n5ff3hpcs3rengn2/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pysf4an5ey0kwjvg0l0prg5l3wr9pg3uvg2m0m/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pyssygjaj8mvu3skp7aj4q9m9hj87cnkjc5gk2/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pynvf0cpaeysqkqrdd733ynuh96p43wyq5wdvq/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pyc4kpalk2dk7cqu63yecnuyg5cpcdzh6h9m3j/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pyccy8msrhy7epfrs06s56xja37hwnwn737dyc/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pyeuxdncatu4jx5juuune7ck8gnhdzjdtd4ucv/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pyap57v77g55d4yz3yynkynfuju02x08s56ssz/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1py73vlysaswwpdmkzmlrtpwlfv5j777yrl5u0w/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p99e6takx0spph23v2a9k3lfh2g264q0fxez8j/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p9fx8ku99nkdlu25r2hptpqmznve90lt2zuuhd/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p9sr0sktx303fah9tw0ptaj4rvu4pt8mua4y7w/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p9schtt8rth8lyphkngnnu5uu4l490mwx5gsx9/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p9amsut7c69rswfdd86twxrgcld5j6nm2ry60h/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pxfn7kftupgdef38clypyvw4w073rs58x8wvjt/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1px2q40q3twagt23d4jc7nwdu2kdw59dh2jv0ed/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pxs9hm7jnlfawauxtfh3cvw2y3a094zcgvmzrw/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pxna8gwynlgvx99f27rh0k2mngjwf4gz5sku6w/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1px5e2ky852q2xxlktlgvjgc3fn95tepcj6txy4/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pxekp75l44hfpxjqgvr8nvx5jj4k6nk3umt6ef/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1px68lea9r8cz9v3q4u3hv49rr7v6wqc8292jws/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pxu0splyl3skmw7xvwsq64760enaa279llzfqm/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1px7lwnuw7zvqar9hjjewm0qr3pkpxrlvpmj592/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p8sxus9tn3gnt90sdnw5d6xtmxvl4um35vk2zn/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p8sfp7tjs953qeccdk70wztdu404kktc0vguhv/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p8ktdc6st0tcd0rqx6eu32xpcf7472su2up6pm/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p8lgmln6tvhr99yz0l4sedlp587ze2y54qpkzy/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pgrurucyd0jl84l4jwutg0a8ssqdvdgthed5zn/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pgxfa96cm8autepakq9cuvxa84rh7te50usyry/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pgvne0jql988nxc7s8cclkk4808h9th7mfus2m/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pgwf50mvx6d9cwqv822dz42nsml5g9mecnj86h/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pg0lfu3t045qj76k59kfj24xvdv8d4g9h34q3s/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pgjsu5996dk9gr8wy4z357k5lq4x7wer39avmd/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pgndfrsc0h9up97frahpr65dvrd8jstm24xxc3/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pgn0lwkckqfs26y3kj643syljqhncu5my7w774/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pglj3j3gk6cuwygn9c2l4kvyykp43zkl69mvyc/by_denom?denom=ubcna"
19-07-2024-10:10,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pfxkckpcpcc5su5kydwsqa9kwnflfurlm2yxyj/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pfwuuq6vf588j5xtg9eyk6rwhfdjwasc4fkl45/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pf44jwdam2mqdp7j3wv2d2x6nlhjnv6esaee3x/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pfkfl0pgpap70fhh6t92ztvawu2nlszulz7syt/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pfh243e50apq0zut00vyhd3sqek0jthc0j858h/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pfuhxrsr6576haxmnxap7gysjty50gsmnd0je5/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p28z5jp2salh855aamw30jcsuzs9t5tysjp6dd/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2da7jac0se3lwf4rf6uxf059ta4lk0xts0rq9/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2wm8jtxdtyqa4dfda3suh5wrpjkr2ckes6aed/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2n0d9npwn3lvrhnnar8ljlrmp4maqf2fydr9f/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2nefvnpal0mcdw9mdypv93khgf4svuwfwvv79/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2nu4ud60z6rj4zlrq0md3jlsxhwu2p2tprjnu/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2a4xr94zf2scg7h3j2gqrt03l96ldgrxwunwy/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1p2l9grqmt2znq867hlfw2qluj359kd2fdx423v/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1ptyzewnns2kn37ewtmv6ppsvhdnmeapv5du3q4/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1ptf3vl23eep60tn5hrzyp77n434jfta5fhscf4/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pttgx9varte39sh58hje3g7nzcmaafq9j4aj5t/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pt0wkmnxm7a6wrzya9css6gnvj693xuqyzc4jj/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1ptstf93ustgrzz69w4y47laelccsxv4a6283pk/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pt3yr5fqt03c9dzcazcausm0c9utsf4qvc5sfz/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvzdcuq3prrwthryjeyxtzns4s75qhd5546jal/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvz6pwchap2qkknf6a66aqzjmr4jd4tfq660tz/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvxxlaq2mxef9xn2v3vpx3ynd48u4avdp7czy3/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pv8shjh4247g5jdnyvsx2l02k4aung55nzmmwa/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvgyc3rcnlpyl8gkzgax3x8ewexq2fvvp396xn/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvfc2fvwfkc3wv0trc9wkk4922vkz0hg26vsdc/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvdpewh4d87esa7k8qryvpvcef2g2e2vxhhnlm/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pv44049a79s903dk4agkt3jrr5d2j2q0ltpdu5/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvcm3nx4qtuljps2uu6c7teaqmzr9jvlh3p9q9/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvusxhd6qfp06snafv6nw9j8c3y4wnc9dlacfm/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pva5qwqzzlr598m6v94rvmppy9japzps0zgn6m/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pvlcus3aclhld8f5g4pefj4ne8pye9kncj6805/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pdy5thcak2v34murn4nstt7k5xejj242up9xhh/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pd8565l43drs293ykaxyen0lknynu7sc6sw4rl/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pdwnnuxe6zpw2c4ag85yu6ckahhfp2fess6ktr/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pd55d0jk246fps6rkx930zgzqzu2hny38xwnc5/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pwza48p44cu9caawe47kvlzqcjzcuhkm5qt5ur/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pw9dsh3385hxr0tjulqq5y5334mzcryf3mj7cq/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pwd6attcyatww4u0tfp9yc20wam5nx25d4x5lf/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pwjc9nses6qzt73kvvm2uelzvfmz7glesvlws6/by_denom?denom=ubcna"
19-07-2024-10:11,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1pwhmecpmtxs58xedwj9mttu3rh2feldtk785t6/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rdjwym4zsag45gf6qqjw8w6pgvgmjumrrz4ep3/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rd78ktc3j8mhnvr8kt4mmyyex89uegywzc8fvm/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rdlmnf3jttd38ety090jdzyce2f2ea6m0fdvjp/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rwz0epqarnw5ggqz3qnhlawvwus0wdggvljw59/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rw5eyc2cdjjqv06zgu97pl8lfr2sjr5l96mnfv/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rwlrfkh6642x57r35zwzrz63gzphck0q9k4ewz/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1r04mm9qtlgdmzjx35ax3tvksmdh9vyvxlju4rh/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1r0cvwdwkz24qm390cvdx68uxedt6ua77xfu7x5/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1r0a6pwt3gvlzlfjndmrdsxq9qpycj9zz4x8cjh/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rsfahyntfwn6c00jedm64v6k60jmzhsg07hs3j/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rsd5t09h3rhedy465yjz882r666tzcjawjcct3/by_denom?denom=ubcna"
19-07-2024-10:14,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna18s0z4fldnwvcxhj06n2hcwdvdacyedstlqf5f4/by_denom?denom=ubcna"
19-07-2024-10:14,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna183rulc092rh685z9f8e6dp3jnxrvm42s04pe6p/by_denom?denom=ubcna"
19-07-2024-10:14,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna183gjgyuw9lq7dwjnhdxw9mgchrysqee0zu6x2f/by_denom?denom=ubcna"
19-07-2024-12:16,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna12mk9w728zhzvnqm46hhuaul65rtqct8mlhe3t2/by_denom?denom=ubcna"
19-07-2024-12:16,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna12uvzmc965h7cwqu72qgh9njz2m3c5ahlscwrse/by_denom?denom=ubcna"
19-07-2024-12:16,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna12usue8q9w5mmvuteh0k40h0zzutlm9k026ev92/by_denom?denom=ubcna"
19-07-2024-12:18,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1q2unr0g47z2ynca223y9pjxrk8vrczhwgcexjs/by_denom?denom=ubcna"
19-07-2024-12:19,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qegml9h8ysr0lss04v0vgjhdn4lav99suwqhuy/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1q2my5q3tndryqkkd5fn09whclr3zph4kp8wae7/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qt8lsmlj8j9390zs4rsjaft7jvrcmqey7jnh83/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qtdgyku3jsqkclqnp7h9seuthjc23m6fm38w20/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qtnr8xvcrv8daxy32yz2g6v9g69lwlh5e385r8/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qt4jy9v3mhvex4prsnvsef368jymk88my7n39l/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qteg5c6nrm2g6vjg0kwddesx5pjurnfleclkte/by_denom?denom=ubcna"
